Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Assurance,Travelling Expenses,TICKETOFFICESALE,04/03/2016,7331,29.1
Assurance,Travelling Expenses,SELFSERVE TICKET,07/03/2016,7342,10
Assurance,Miscellaneous Expenses,BIRMINGHAM CC,22/04/2016,7871,69
Assurance,Miscellaneous Expenses,BIRMINGHAM CC,25/04/2016,7891,13
Assurance,Miscellaneous Expenses,D H C LTD,08/06/2016,8320,170.85
Assurance,Equipment and Materials Purcha,PP HIREWITNESS,15/07/2016,8752,370
Children's Service DSG,Hardware Purchases,"AMAZON SVCS EUROPE,SAR",12/05/2016,8042,136.01
Children's Service DSG,Travelling Expenses,WWW.GL-EDUCATION.C,13/05/2016,8049,274.52
Children's Service DSG,Travelling Expenses,THE CHILTERN RLYWY,21/04/2016,7846,27.7
Children's Service DSG,Equipment and Materials Purcha,WWW.CONNEVANS.COM,08/04/2016,7716,45.6
Children's Service DSG,Equipment and Materials Purcha,NAS,08/04/2016,7717,43.04
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,17/05/2016,8090,1.25
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/04/2016,7730,38.8
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,19/05/2016,8121,38.97
Children's Service DSG,Equipment and Materials Purcha,BRAIN SENSE THERAPY,24/05/2016,8167,43
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,10/06/2016,8341,22.98
Children's Family Services,Travelling Expenses,TRAINLINE,29/04/2016,7941,131.68
Children's Family Services,Miscellaneous Expenses,WWW.GROUPON.CO.UK,29/06/2016,8575,22
Children's Family Services,Miscellaneous Expenses,WWW.GROUPON.CO.UK,29/06/2016,8576,249
Children's Service DSG,Subscriptions,AMAZON PRIME,11/04/2016,7729,79
Children's Service DSG,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,10/03/2016,7405,18.94
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,10/03/2016,7406,42.92
Children's Service DSG,Conference Expenses,EB PRE-SCHOOL LEARNIN,28/04/2016,7926,360
Children's Service DSG,Food Costs,SAINSBURYS 0124,16/06/2016,8400,19.75
Children's Service DSG,Subscriptions,MAGSUBCRIPTIONS COM,21/06/2016,8471,116
Children's Service DSG,Equipment and Materials Purcha,TTS GROUP LTD,27/06/2016,8536,79.02
Children's Service DSG,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,28/06/2016,8552,11.79
Children's Service DSG,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,30/06/2016,8597,18.74
Children's Service DSG,Subscriptions,HTTP://SHOP.ICAN.ORG.U,05/07/2016,8649,60
Children's Service DSG,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,05/07/2016,8650,32.21
Children's Service DSG,Food Costs,TESCO STORES 6412,07/07/2016,8680,7.26
Children's Service DSG,Books-CDs-Audio-Video,AMAZON EU,12/07/2016,8723,53.94
Children's Service DSG,Subscriptions,MK LANGUAGE CENTRE,08/08/2016,9037,1500
Children's Education & Skills,Equipment and Materials Purcha,WIX.COM,09/05/2016,8012,2.49
Children's Education & Skills,Training,WESTMINSTER FORUM,19/04/2016,7822,252
Children's Education & Skills,Stationery,AMAZON EU,21/04/2016,7854,26.01
Children's Education & Skills,Subscriptions,WWW.OUP.COM,22/06/2016,8483,132
Children's Education & Skills,Equipment and Materials Purcha,AMAZON PRIME,19/08/2016,9165,79
Children's Education & Skills,Equipment and Materials Purcha,AMAZON EU,20/07/2016,8832,12.6
Children's Education & Skills,Equipment and Materials Purcha,AMAZON UK RETAIL AMAZO,21/07/2016,8833,12.6
Children's Education & Skills,Software Licences & Support,FASTHOSTS INTERNET,11/08/2016,9084,13.98
Children's Family Services,Food Costs,IKEA,17/06/2015,4318,399
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,18/06/2015,4340,119.9
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",18/06/2015,4341,26.67
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,18/06/2015,4342,77.47
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",18/06/2015,4343,20.1
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",19/06/2015,4351,17.57
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",19/06/2015,4352,3.32
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,19/06/2015,4353,163.99
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",19/06/2015,4354,36.6
Children's Family Services,Other Services,SKIDDLE BRIGHTONMUSICC,30/03/2016,7623,278
Children's Family Services,Other Services,HOLIDAY INN EXPRSS,30/03/2016,7624,77
Children's Family Services,Other Services,JIGSAW SYSTEMS LTD,13/04/2016,7753,185.23
Children's Family Services,Other Services,BT BILL PAYMENT 1,08/06/2016,8312,78.26
Children's Family Services,Other Services,WWW.BANHAM.COM,24/06/2016,8507,653.4
Children's Family Services,Gas,BRITISH GAS BUSINE,30/06/2016,8600,1695.22
Children's Family Services,Other Services,BT BILL PAYMENT 1,09/03/2016,7390,74.75
Children's Family Services,Other Services,WPS,10/03/2016,7398,54.19
Children's Family Services,Telephones Calls,BT PAY BY PHONE,30/06/2016,8587,84.96
Children's Family Services,Telephones Calls,BT PAY BY PHONE,30/06/2016,8588,234.59
Children's Family Services,Telephones Calls,BT PAY BY PHONE,30/06/2016,8589,78.6
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,02/05/2016,7958,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,09/05/2016,8006,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,12/05/2016,8041,20
Children's Family Services,Equipment and Materials Purcha,PP INTREPIDSEC,07/04/2016,7709,665
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,07/04/2016,7710,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,23/05/2016,8138,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,30/05/2016,8211,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/04/2016,7845,20
Children's Family Services,Equipment and Materials Purcha,ARGOS RETAIL GROUP,22/04/2016,7860,187.49
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,25/04/2016,7880,40
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,25/04/2016,7881,20
Children's Family Services,Stationery,AMAZON UK MARKETPLACE,08/06/2016,8314,108.32
Children's Family Services,Stationery,AMAZON UK MARKETPLACE,09/06/2016,8326,11
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,30/06/2016,8590,100
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOSET,30/06/2016,8591,60
Children's Family Services,Publications,FACEBOOK 7QYLU8E4B2,18/07/2016,8777,3
Children's Family Services,Publications,FACEBOOK 6QYLU8E4B2,18/07/2016,8778,17.75
Children's Family Services,Equipment and Materials Purcha,AMAZON UK RETAIL AMAZO,19/08/2016,9158,25.87
Children's Family Services,Furniture-Purchase-Repair,ARGOS RETAIL GROUP,06/07/2016,8656,111.66
Children's Family Services,Furniture-Purchase-Repair,HOMEBASE LTD 024,15/07/2016,8758,4.29
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,18/07/2016,8772,65
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,18/07/2016,8773,97.46
Children's Family Services,Cleaning and domestic material,TESCO STORES 2479,15/04/2016,7783,0.8
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,25/08/2016,9254,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,02/05/2016,7962,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,09/05/2016,8011,20
Children's Family Services,Food Costs,WAITROSE 191,13/05/2016,8053,6.33
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,04/04/2016,7685,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,04/04/2016,7686,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,20/05/2016,8131,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,23/05/2016,8144,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,18/04/2016,7798,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/04/2016,7852,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/06/2016,8257,20
Children's Family Services,Food Costs,WAITROSE 191,28/04/2016,7925,6.75
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,13/06/2016,8358,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,17/06/2016,8416,20
Children's Family Services,Food Costs,WAITROSE 191,30/06/2016,8599,11.67
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,04/07/2016,8627,20
Children's Family Services,Equipment and Materials Purcha,AMAZON UK RETAIL AMAZO,14/07/2016,8734,8.9
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,14/07/2016,8748,7.88
Children's Family Services,Equipment and Materials Purcha,BARNET LOCK CENTRE LTD,14/07/2016,8749,27
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/07/2016,8866,20
Children's Family Services,Postage,WWW.ROYALMAIL.COM,25/07/2016,8904,55
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,26/07/2016,8923,20
Children's Family Services,Food Costs,WAITROSE 191,29/07/2016,8958,16.69
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,08/08/2016,9038,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/08/2016,9083,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/08/2016,9176,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,22/08/2016,9183,20
Children's Family Services,Equipment and Materials Repair,TESCO STORES 2544,02/05/2016,7961,10.46
Children's Family Services,Cleaning and domestic material,TESCO STORES 2544,16/05/2016,8072,1.42
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,18/04/2016,7797,16.67
Children's Family Services,Equipment and Materials Purcha,GHANSHYAM DIY STORE,22/04/2016,7868,6.33
Children's Family Services,General Office Expenses,GHANSHYAM DIY STORE,21/07/2016,8848,4.59
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,29/08/2016,9287,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,10/06/2016,8333,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,30/05/2016,8204,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,16/06/2016,8395,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,21/04/2016,7839,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/07/2016,8707,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/08/2016,9045,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,29/08/2016,9291,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/07/2016,8706,20
Children's Family Services,Food Costs,TESCO STORES 5655,04/05/2016,7979,3.53
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,10/03/2016,7400,0.68
Children's Family Services,Cleaning and domestic material,TESCO STORES 5655,27/05/2016,8196,0.87
Children's Family Services,Postage,POST OFFICE COUNTER,02/06/2016,8232,4.5
Children's Family Services,Food Costs,TESCO STORES 5655,29/06/2016,8564,2.23
Children's Family Services,Food Costs,TESCO STORES 5655,16/03/2016,7473,0.59
Children's Family Services,Equipment and Materials Purcha,ROBERT DYAS HOLDNG LTD,21/07/2016,8841,1.43
Children's Family Services,Equipment and Materials Purcha,SAINSBURYS SACAT 0515,21/07/2016,8842,4.8
Children's Family Services,Food Costs,SAINSBURYS 0515,04/08/2016,9005,5.6
Children's Family Services,Postage,POST OFFICE COUNTER,10/08/2016,9061,55
Children's Family Services,Equipment and Materials Purcha,ARGOS LTD,06/05/2016,7989,58.49
Children's Family Services,Equipment and Materials Purcha,SAINSBURYS SACAT 0164,10/06/2016,8334,2.92
Children's Family Services,Food Costs,SAINSBURYS SACAT 0164,01/07/2016,8604,5.19
Children's Family Services,Equipment and Materials Purcha,SAINSBURYS 0649,20/07/2016,8805,5.05
Children's Family Services,Equipment and Materials Purcha,THE WORKS,16/05/2016,8067,19
Children's Family Services,Food Costs,ZAHRA NEWSAGENT,06/04/2016,7704,30.5
Children's Family Services,Food Costs,ZAHRA NEWSAGENT,17/05/2016,8089,30
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,28/04/2016,7923,20
Children's Family Services,Building Repairs & Maintenance,B & Q 1066,06/06/2016,8277,4.45
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,09/06/2016,8330,20
Children's Family Services,Food Costs,ZAHRA NEWSAGENT,20/06/2016,8438,30.5
Children's Family Services,Equipment and Materials Purcha,SAINSBURYS SACAT 4572,29/08/2016,9275,2.5
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,23/05/2016,8145,20
Children's Family Services,Building Repairs & Maintenance,SAINSBURYS SACAT 0515,18/04/2016,7799,10
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,20/06/2016,8433,20
Children's Family Services,Building Repairs & Maintenance,SAINSBURYS 0515,21/04/2016,7853,12.5
Children's Family Services,Building Repairs & Maintenance,SAINSBURYS 0515,22/04/2016,7869,-9.33
Children's Family Services,Postage,WWW.ROYALMAIL.COM,18/03/2016,7511,54
Children's Family Services,Equipment and Materials Purcha,ROBERT DYAS HOLDNG LTD,21/03/2016,7537,5.82
Children's Family Services,Cleaning and domestic material,SAINSBURYS 0515,06/06/2016,8281,7.5
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/07/2016,8691,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,12/07/2016,8720,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,03/05/2016,7966,20
Children's Family Services,Food Costs,BROADWAY NEWSAGENT FOO,13/06/2016,8357,5.16
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,16/06/2016,8401,20
Children's Family Services,Cleaning and domestic material,ICELAND,27/04/2016,7913,6.67
Children's Family Services,Equipment and Materials Purcha,"BOOTS,MILL HILL",01/08/2016,8975,3
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,08/08/2016,9046,20
Children's Family Services,Cleaning and domestic material,ICELAND,16/08/2016,9123,6.4
Children's Family Services,Postage,POST OFFICE COUNTER,08/07/2016,8684,82.5
Children's Family Services,Equipment and Materials Purcha,BARNET LOCK CENTRE LTD,19/07/2016,8801,14.25
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,16/05/2016,8076,16
Children's Family Services,Food Costs,ASDA SUPERSTORE,18/05/2016,8108,5.25
Children's Family Services,Food Costs,ASDA SUPERSTORE,20/04/2016,7834,6
Children's Family Services,Food Costs,ASDA SUPERSTORE,16/03/2016,7488,3
Children's Family Services,Food Costs,TESCO STORES 2062,20/07/2016,8834,6.11
Children's Family Services,Food Costs,ASDA SUPERSTORE,07/06/2016,8308,6
Children's Family Services,Food Costs,ASDA SUPERSTORE,22/06/2016,8484,5
Children's Family Services,Food Costs,ASDA SUPERSTORE,22/06/2016,8485,16
Children's Family Services,Equipment and Materials Purcha,POUNDLAND LTD,04/05/2016,7973,6
Children's Family Services,Equipment and Materials Purcha,POUNDLAND LTD,21/07/2016,8838,6.67
Children's Family Services,Travelling Expenses,RISHIN'S,01/08/2016,8980,16.4
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,02/05/2016,7963,20
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,06/06/2016,8282,20
Children's Family Services,Postage,WWW.ROYALMAIL.COM,19/05/2016,8114,55
Children's Family Services,Books-CDs-Audio-Video,OYSTER AUTOTOPUP,22/03/2016,7550,20
Children's Family Services,Equipment and Materials Purcha,SAINSBURYS SACAT 4572,31/03/2016,7635,2.2
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,11/03/2016,7414,20
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,14/03/2016,7436,16.53
Children's Family Services,Books-CDs-Audio-Video,AMAZON UK MARKETPLACE,14/03/2016,7437,58.32
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,07/06/2016,8295,20
Children's Family Services,Travelling Expenses,OYSTER AUTOTOPUP,23/06/2016,8496,20
Children's Family Services,Publications,WWW.BRITISHNEWSPAPERAR,10/05/2016,8019,71.96
Assurance,Travelling Expenses,LETHERBY & CHRISTOPHER,23/03/2016,7573,79.17
Assurance,Travelling Expenses,TRAINLINE,17/03/2016,7502,40.03
Assurance,Miscellaneous Expenses,PIZZA HUT - SOUTHGATE,06/05/2016,7988,198.75
Assurance,Fixtures and fittings,MARQUEE CARPETS LIMITEWALTHAM CROSS,19/08/2016,9175,-1315.2
Assurance,Venue Hire,ALEXANDRA PALACE,02/05/2016,7960,4342.2
Assurance,Miscellaneous Expenses,TEXTMARKETER,06/06/2016,8283,198
Assurance,Miscellaneous Expenses,CLOTHES 2 ORDER,06/06/2016,8284,880.5
Assurance,Food Costs,PIZZA HUT ONLINE WEB,08/06/2016,8313,37.29
Assurance,Food Costs,PIZZA HUT ONLINE WEB,09/06/2016,8322,119.07
Assurance,Food Costs,PIZZA HUT ONLINE WEB,20/06/2016,8428,54.02
Assurance,Transport Hire Charges,HEARNS COACHES,20/06/2016,8439,306
Assurance,Travelling Expenses,WWW.ADDISONLEE.COM,27/06/2016,8520,22.1
Assurance,Travelling Expenses,WWW.ADDISONLEE.COM,28/06/2016,8538,22.6
Assurance,Travelling Expenses,WWW.ADDISONLEE.COM,28/06/2016,8539,9.5
Assurance,Equipment Hire,MARQUEE CARPETS LIMITE,30/06/2016,8598,1315.2
Assurance,Miscellaneous Expenses,MARKS&SPENCER PLC,01/07/2016,8608,35
Assurance,Other Vehicle Costs,HEARNS COACHES,27/04/2016,7914,535.5
Assurance,Stationery,WWW.VIKING-DIRECT.CO.U,30/06/2016,8579,37.79
Assurance,Other Vehicle Costs,TRELAWNEY GARDEN C,28/03/2016,7610,19.98
Assurance,Other Indirect Employee Expens,THE GRAPEVINE,05/04/2016,7697,15.98
Assurance,Other Indirect Employee Expens,BROTHER & SONS LIMITED,13/04/2016,7749,5.07
Assurance,Laundry and Dry Cleaning,BLAKES DRY CLEANER LTD,13/04/2016,7750,11.5
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,19/04/2016,7804,11.5
Assurance,NNDR Collected,LB CAMDEN PARKING,19/04/2016,7807,2.4
Assurance,Equipment and Materials Repair,M CAMELIA IACOB LT,19/04/2016,7808,48
Assurance,Other Vehicle Costs,HALFORDS 0370,06/06/2016,8276,41.66
Assurance,Subsistence,EAT,07/06/2016,8298,3.67
Assurance,Parking Permit Fees,LB CAMDEN PARKING,07/06/2016,8299,3.6
Assurance,Other Indirect Employee Expens,WAITROSE 670,10/06/2016,8336,12.52
Assurance,Clothing - Protective Clothing,M CAMELIA IACOB LT,19/04/2016,7809,48
Assurance,Equipment and Materials Repair,M CAMELIA IACOB LT,19/04/2016,7810,48.48
Assurance,Travelling Expenses,LUL TICKET MACHINE,19/04/2016,7811,15
Assurance,Other Vehicle Costs,HALFORDS 0370,13/06/2016,8353,-49.99
Assurance,Subsistence,STARBUCKS,21/06/2016,8469,4.17
Assurance,Subsistence,DELI AT NUMBER 4,24/06/2016,8515,2
Assurance,Subsistence,STARBUCKS,27/06/2016,8528,2.54
Assurance,Subsistence,MCDONALDS,27/06/2016,8529,2.37
Assurance,Other Vehicle Costs,ELSTREE CAR VALETING L,28/06/2016,8550,7
Assurance,Other Vehicle Costs,HALFORDS 0370,30/06/2016,8592,41.66
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,27/04/2016,7905,11.5
Assurance,NNDR Collected,LB CAMDEN PARKING,27/04/2016,7909,1.7
Assurance,Other Indirect Employee Expens,TESCO STORE 2126,18/03/2016,7505,30.25
Assurance,Subsistence,DELI AT NUMBER 4,06/05/2016,7991,2.83
Assurance,Clothing - Protective Clothing,M CAMELIA IACOB LT,09/05/2016,8007,65
Assurance,Parking Permit Fees,L B BARNET PARKING,11/05/2016,8029,1.1
Assurance,Other Indirect Employee Expens,WAITROSE 670,16/05/2016,8063,15.5
Assurance,Parking Permit Fees,LB CAMDEN PARKING,18/05/2016,8103,1.7
Assurance,Subsistence,THE CORNER CAFE,18/05/2016,8104,5.58
Assurance,Parking Permit Fees,LB CAMDEN PARKING,18/05/2016,8105,1.7
Assurance,Parking Permit Fees,LAMBETH PARKING,19/05/2016,8115,4.7
Assurance,Subsistence,EAT,03/06/2016,8252,5.61
Assurance,Parking Permit Fees,LB CAMDEN PARKING,03/06/2016,8253,9.3
Assurance,Subsistence,STARBUCKS,06/06/2016,8275,1.96
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,18/05/2016,8096,11.5
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,02/06/2016,8228,11.5
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,03/06/2016,8243,11.5
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,07/06/2016,8288,11.5
Assurance,Equipment and Materials Purcha,MIDDLESEX UNIVERSITY H,23/06/2016,8488,7.68
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,19/07/2016,8784,11.5
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,08/08/2016,9026,11.5
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,18/08/2016,9140,11.5
Assurance,Vehicle Running Costs,TFL CC/LEZ CHARGE,22/08/2016,9167,11.5
Assurance,General Office Expenses,WWW.RYMAN.CO.UK,29/08/2016,9272,19.88
Assurance,Other Indirect Employee Expens,WAITROSE 670,04/07/2016,8626,13.16
Assurance,Subsistence,"BOOTS,1000",05/07/2016,8644,2.5
Assurance,Subsistence,BAR BRUNO,05/07/2016,8645,7.5
Assurance,Laundry and Dry Cleaning,BLAKES DRY CLEANER LTD,06/07/2016,8657,11.5
Assurance,Other Vehicle Costs,BP KELLYS CORNER CONNE,18/07/2016,8774,9
Assurance,Subsistence,STARBUCKS,19/07/2016,8792,2.79
Assurance,Subsistence,OASIS COFFEE SHOP,19/07/2016,8793,5.3
Assurance,Parking Permit Fees,LB CAMDEN PARKING,19/07/2016,8794,6.9
Assurance,Parking Permit Fees,WESTMINSTER PARK/PARKE,20/07/2016,8795,3.41
Assurance,Other Indirect Employee Expens,WAITROSE 670,25/07/2016,8878,11.51
Assurance,Other Indirect Employee Expens,WAITROSE 670,25/07/2016,8879,75
Assurance,Other Indirect Employee Expens,W M MORRISON PLC,27/07/2016,8925,19.52
Assurance,Travelling Expenses,LUL TICKET MACHINE,03/08/2016,8997,10
Assurance,Other Indirect Employee Expens,ICELAND,03/08/2016,8998,14.65
Assurance,Laundry and Dry Cleaning,BLAKES DRY CLEANER LTD,17/08/2016,9133,21.5
Assurance,Subsistence,EAT,18/08/2016,9146,5.36
Assurance,Parking Permit Fees,LB CAMDEN PARKING,18/08/2016,9147,5.75
Assurance,Parking Permit Fees,LB CAMDEN PARKING,18/08/2016,9148,9.2
Assurance,Other Vehicle Costs,BP KELLYS CORNER CONNE,22/08/2016,9159,9
Assurance,Subsistence,SARACENS,29/08/2016,9296,2
Assurance,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,27/05/2016,8191,10.19
Assurance,Equipment and Materials Purcha,INSPIRED FRAMES,06/04/2016,7699,304.02
Assurance,Equipment and Materials Purcha,PINKS FLORISTS SPIRES,11/05/2016,8024,290
Assurance,Equipment and Materials Purcha,INSPIRED FRAMES,18/05/2016,8097,65
Assurance,Equipment and Materials Purcha,INSPIRED FRAMES,08/06/2016,8310,50.67
Assurance,Equipment and Materials Purcha,INSPIRED FRAMES,25/07/2016,8868,65.88
Commissioning,Equipment and Materials Purcha,THE GOLDERS GREEN HOTE,18/04/2016,7801,100
Commissioning,General Office Expenses,WWW.THEBARCODEWAREHOUS,09/03/2016,7385,268.72
Commissioning,Catering Recharge,THE EMERGENCY PLAN,09/03/2016,7386,100
Commissioning,General Office Expenses,AMAZON UK MARKETPLACE,17/03/2016,7496,29.98
Commissioning,Stationery,AMAZON UK MARKETPLACE,23/06/2016,8489,76.64
Commissioning,Professional Services,COMPANIES HOUSE,05/07/2016,8632,11.7
Commissioning,Stationery,WWW.STATIONERYWHOLESAL,07/07/2016,8664,105.9
Adults and Communities,Non Education Staff GPay,LUL TICKET MACHINE,12/04/2016,7739,55
Adults and Communities,Non Education Staff GPay,TEXTBOND NEWS,24/06/2016,8514,60.8
Adults and Communities,Stationery,ARGOS RETAIL GROUP,25/03/2016,7606,15.99
Adults and Communities,Postage,WWW.ROYALMAIL.COM,16/05/2016,8068,128
Adults and Communities,Travelling Expenses,OYSTER BUS AUTOTOP,23/05/2016,8143,20
Adults and Communities,Travelling Expenses,OYSTER AUTOTOPUP,04/03/2016,7340,20
Adults and Communities,Postage,WWW.ROYALMAIL.COM,07/03/2016,7360,105
Adults and Communities,Stationery,SAFETYLABEL,08/03/2016,7379,15.09
Adults and Communities,Travelling Expenses,OYSTER AUTOTOPUP,18/04/2016,7796,40
Adults and Communities,Postage,WWW.ROYALMAIL.COM,02/06/2016,8238,128
Adults and Communities,Travelling Expenses,OYSTER AUTOTOPUP,28/04/2016,7924,20
Adults and Communities,Postage,WWW.ROYALMAIL.COM,29/06/2016,8573,128
Children's Family Services,Cleaning and domestic material,AMAZON UK MARKETPLACE,02/05/2016,7955,36.45
Children's Family Services,Cleaning and domestic material,SAINSBURYS 0513,02/05/2016,7956,23.5
Children's Family Services,Food Costs,SAINSBURYS 0513,02/05/2016,7957,131.75
Children's Family Services,Stationery,AMAZON UK MARKETPLACE,03/05/2016,7964,5.23
Children's Family Services,Cleaning and domestic material,SAINSBURYS TO YOU 0567,03/05/2016,7965,24.9
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0567,03/05/2016,7965,151.45
Children's Family Services,Food Costs,MCDONALDS,03/05/2016,7967,9.58
Children's Family Services,Other Services,CO-OP GROUP 180240,03/05/2016,7968,8.44
Children's Family Services,Other Services,VUE BSL LTD,03/05/2016,7969,39.17
Children's Family Services,Building Repairs & Maintenance,HOMEBASE LTD 024,04/05/2016,7972,30.75
Children's Family Services,Food Costs,ASDA SUPERSTORE,24/03/2016,7587,54.79
Children's Family Services,Food Costs,COSTCUTTER,25/03/2016,7593,7.76
Children's Family Services,Food Costs,CO-OP GROUP FOOD,25/03/2016,7594,3.24
Children's Family Services,Other Transfer Payments to Soc,INTERFLORA BRITISH UNI,28/03/2016,7608,81
Children's Family Services,Other Services,VUE BSL LTD,29/03/2016,7612,59.37
Children's Family Services,Other Services,VUE BSL LTD,29/03/2016,7613,7.17
Children's Family Services,Other Services,AMAZON UK MARKETPLACE,04/05/2016,7978,4.9
Children's Family Services,Food Costs,CO-OP GROUP FOOD,06/05/2016,7987,19
Children's Family Services,Other Transfer Payments to Soc,WILKO RETAIL LIMIT,06/05/2016,7992,12.65
Children's Family Services,Other Transfer Payments to Soc,NEWLOOK 2071,06/05/2016,7993,14.99
Children's Family Services,Other Services,VUE BSL LTD,09/05/2016,7995,45.16
Children's Family Services,Food Costs,NANDOS FINCHLEY,09/05/2016,7996,28.45
Children's Family Services,Food Costs,TESCO STORE 2296,31/03/2016,7628,30.06
